app_name,question,answer
Twitter,#TBT,Throwback Thursday
Twitter,Am I on the right track?,Yes
Twitter,Who is the girl in the Dunkin' Donuts commercial?,"Stefani Joanne Angelina Germanotta, better known by her stage name Lady Gaga,"
Twitter,Get started with Twitter by clicking the Compose button and writing a Tweet.,Tap the Tweet button to share your Tweet with your followers.
Twitter,Privacy,"To protect your privacy and security, we do not share your followers' list or your following list publicly. You can control who can see your lists on your settings."
Twitter,Most frequently asked questions,"The new, redesigned Twitter is here!"
Twitter,faq,A Twitter account is the best way to join the global conversation. Create your account today and start following topics and people that interest you.
Twitter,"See our Help Center for common questions, such as: \\n""Where can I find my password?"" \\n""How do I add my credit or debit card?"" \\n""Where can I see my billing history?""",https://help.twitter.com/en
Twitter,See the Twitter Help Center for frequently asked questions about Twitter and the help topics below.,The Help Center has answers to frequently asked questions about Twitter and the help topics below.
Twitter,"[{""id"":1135918021135501312,""id_str"":""1135918021135501312"",""indices"":[118,139],""media_url"":""",Where to find support for Twitter? https://t.co/eQzT8P0JSr
Twitter,What is Twitter?,Twitter is an online news and social networking service on which people post and interact with messages.
Twitter,What are your hours?,Mon-Fri: 10am-6pm
Twitter,Got it!,No problem!
Twitter,How can I report an impersonator?,"To report an impersonation, tap or click the three dots in the top right corner of the profile you want to report, then tap or click Report."
Twitter,https://support.twitter.com/articles/20181040,Hover over the name of the account to see its Twitter verification status.
Twitter,[#TwitterMoments](https://twitter.com/hashtag/TwitterMoments?src=hash&amp;ref_src=twsrc%5Etfw),Keep up with live events and what people are talking about right now.
Twitter,What is the difference between Twitter and Facebook?,Twitter is a microblogging site and it has a 140-character limit on posts. Facebook is a social networking site and it has no character limit.
Twitter,https://help.twitter.com/en/using-twitter/faqs,"To reset your password, follow these steps:"
Twitter,[Twitter Customer Support (@Support)}\n\n#Twitter4Good\nHelp the world do good. Twitter is launching a new initiative to highlight the good work happening on our platform.\nJoin the conversation by sharing a photo of you with the hashtag #Twitter4Good.\nWe,@Support
Twitter,FAQs,"For general questions about Twitter, the best place to start is help.twitter.com. To contact Twitter, you can visit our Contact Support page if you are logged in to your Twitter account."
Twitter,#FAQ,"The app is intended for social networking, microblogging, and messaging."
Twitter,What is the Twitter app?,"Twitter is a social networking service that allows users to send and read short 140-character messages called ""tweets"". Registered users can read and post tweets, but those who are unregistered can only read them. Users access Twitter through the website interface, SMS or mobile device app"
Twitter,https://help.twitter.com/en/rules-and-policies/twitter-rules,"We only allow accounts with a confirmed email address. To confirm your email address, go to your Account settings and add your email address."
Twitter,Yes!,Yes!
Twitter,What does “Going Dark” mean?,A Going Dark tweet is a tweet that is sent to a specific group of people.
Twitter,We've got you! Click on the link below to find answers to most of your questions. https://help.twitter.com,Twitter allows you to get answers to most of your questions.
Twitter,@TwitterSupport,"Sorry for the trouble! If you're having trouble accessing your Twitter account, please visit https://t.co/c72PJm0TOS for help."
Twitter,https://help.twitter.com/en/using-twitter/frequently-asked-questions,Following Twitter accounts you can help you find out which accounts to follow on Twitter.
Twitter,What is the difference between a tweet and a retweet?,A retweet is when you share another user's tweet with your followers by pressing the retweet button.
Twitter,@Twitter,Log in
Twitter,Get help with frequently asked questions,"Thank you for using Twitter! If you have any issues, please know that we are here to help. Please reach out to us via Direct Message or by visiting help.twitter.com."
Twitter,Bug Reports,You can report a bug and request a feature by tweeting us @TwitterSupport.
Twitter,What is the difference between following and follow request?,"When you follow someone, they receive a notification that you have followed them. When you send a follow request, they are not notified until they approve it."
Twitter,"You can use the keyboard shortcut (CMD/CTRL + K) on your desktop to search in the app, or press the magnifying glass icon.","Yes, you can search in Twitter by using the Search icon on the top toolbar, or by pressing CMD/CTRL + K (or CMD/CTRL + F) on your desktop."
Twitter,How do I get a blue checkmark on Twitter?,"Twitter offers verified accounts to confirm the authenticity of high-profile and notable users. These accounts are marked with a blue checkmark. To apply for a verified account, go to Twitter's Verified Account application form and follow the instructions."
Twitter,Need help?,Tap or visit https://help.twitter.com to find answers to our most frequently asked questions.
Twitter,Yes,Yes
Twitter,https://help.twitter.com/en/search,Yes
Twitter,\#AskTwitter,"""I simply love twitter and I use it a lot, that's why I have so many followers."""
Twitter,What's the difference between a hashtag and a trend?,Hashtags are just words that have been included at the beginning of a tweet using the # symbol. They help to group tweets together on a particular topic. Trends are the most popular hashtags at any given time.
Twitter,[@Twitter](https://twitter.com/Twitter?ref_src=twsrc%5Etfw),"Tweets are public, but not every account, Tweet, or information about an account is available. Learn more about what info is available on Twitter."
Twitter,https://t.co/qmTLwHZq8T,I don't think so
Twitter,Why was Twitter created?,"Twitter was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams as a way to answer the question ""What are you doing?"""
Twitter,FAQ,"To sign up for Twitter, you can visit Twitter.com on a desktop or mobile device, or download one of our mobile apps."
Twitter,Yes,"To use the Twitter app, first download it onto your device. Then, open the app and sign in with your Twitter account or create a new account. Once you're signed in, you can start using the app to browse through your timeline, view photos and videos, and interact with other users."
Twitter,View our Help Center for answers to frequently asked questions.,Log in
Twitter,"[https://support.twitter.com/articles/20171058#:~:text=Click%20on%20the%20profile%20picture,the%20profile%20picture%20to%20change.](https",Click on the profile picture to change your profile photo.
Twitter,https://twitter.com/TwitterSupport/status/1356989442347986946,We're aware of the issue and working on a resolution. You can see a full update here: https://t.co/z12RuQV1KL
Twitter,What's a hashtag?,A hashtag is a word or phrase preceded by a hash symbol (#) that's used on social media sites to identify messages on a specific topic.
Twitter,How do I report a problem with the app?,"To report a problem with the Twitter app, please contact our Help Center at [https://help.twitter.com/forms/report-a-bug](https://help.twitter.com/forms/report-a-bug)."
Twitter,What is a hashtag?,"A hashtag is a word or phrase preceded by a hash sign (#), a special character for Twitter. By using hashtags, your Tweets are more easily searchable and discoverable on Twitter."
Twitter,FAQ,https://twitter.com/TwitterSupport
Twitter,https://help.twitter.com/en/portal/faqs,"If you're having trouble logging into Twitter, visit our help center article on how to sign back in."
Twitter,All Tweets are public,Yes
Twitter,Frequently asked question,Twitter
Twitter,Help Center,"TweetDeck is a free app for Mac and PC that lets you stay on top of your Twitter account and monitor multiple Twitter accounts from one easy-to-use, single-window interface. Many users prefer TweetDeck to Twitter for Windows because it's more powerful."
Twitter,FAQ,"If you are having problems with an app, you can contact the developer by using the ‘Report a Problem’ link in the app’s Details page."
Twitter,Twitter is a social networking platform where users can share their thoughts in the form of tweets.,Twitter is a social networking platform where users can share their thoughts in the form of tweets.
Twitter,What is the Golden Ratio?The Golden Ratio is a mathematical ratio that occurs in nature and has been used in art and architecture for centuries. It is often referred to as the Divine Proportion or the Golden Section.,The Golden Ratio is a mathematical ratio that occurs in nature and has been used in art and architecture for centuries. It is often referred to as the Divine Proportion or the Golden Section.
Twitter,How do I send a direct message (DM)?,"There are a few different ways to send a DM, depending on your situation."
Twitter,What is a hashtag?,A # (number sign) or hashtag is used to mark keywords or topics in a Tweet. It was created organically by Twitter users as a way to categorize messages.
Twitter,What is the difference between a post and a tweet?,Tweets are short blog messages that can be up to 280 characters long. Posts are longer messages that can be up to 400 characters long.
Twitter,This is not a frequently asked question.,The answer depends on the context.
Twitter,Yes,"Yes, Twitter is a popular social media platform."
Twitter,Do you have a physical store?,No.
Twitter,Follow these steps to log out of your Twitter account on Facebook:,"Go to the Connected Apps and Websites section of your Twitter settings, and locate the Facebook app. Then, click the Remove button to remove the Facebook app from your Twitter account. You can find the Connected Apps and Websites section of your Twitter settings by going to Settings and privacy > App"
Twitter,FAQs,About us
Twitter,Frequently asked questions,We're not able to share a date for when you'll see the changes.
Twitter,"In order to use the Twitter Gift Card for the first time, you will need to register for a Twitter account. To do this, please visit https://twitter.com/ and click “Sign Up”. You will need to provide your full name, email address, and a password. Once you have created an account",Twitter
Twitter,What is a hashtag?,"A word or phrase in a tweet prefixed by the hash symbol, # (e.g. #fashion). Hashtags are used to index keywords or topics and allow users to discover and engage with tweets about the same topic."
Twitter,"Twitter is a social networking service and microblogging service on which users post and interact with messages known as tweets. Registered users can post, like, and retweet tweets, but unregistered users can only read them. Users access Twitter through its website interface, through SMS, or through mobile",It's a social network used to share information.
Twitter,https://help.twitter.com/en/safety-and-security/report-a-violation-of-the-twitter-rules,Click the Report button under the tweet.
Twitter,World,Twitter
Twitter,Check the frequently asked question page,"Twitter for Android and Twitter for iPhone are fast, free, and easy to use on the go. With the official Twitter app, you can: - See what your friends are saying in real time - Keep up with breaking news as it happens - Share and discover photos, videos and more - Tweet anywhere"
Twitter,https://support.twitter.com/articles/28220,Log in to the Twitter website.
Twitter,How do I add a photo to my Twitter bio?,"Visit your Twitter profile and tap Edit profile > Add profile photo, then either select a photo from your device or take a new photo. You can also add a profile header image to your profile."
Twitter,Where can I find help for my issue?,You can find help at https://support.twitter.com/forms/general
Twitter,Twitter Ads,Twitter Ads is Twitter's advertising platform that allows businesses to promote their tweets and reach a wider audience.
